cancion,artista,popularity,acousticness,genero,explicit,danceability,link,miembro
A Pearl,Mitski,65,25,Art Pop,FALSE,0.15,https://open.spotify.com/track/7fd3aMiuwHWKsTdZafjOfZ?si=b9512898cee44760,Liz
All Right Now,Free,74,22,Rock Clasico,TRUE,0.84,https://open.spotify.com/track/1gcESexgftSuLuML57Y69q?si=57140e34c28b48dd,Chantal
ARE WE STILL FRIENDS?,Tyler the Creator,83,13,Alt Hip-Hop,TRUE,0.05,https://open.spotify.com/track/5TxRUOsGeWeRl3xOML59Ai?si=87d30b3397fe4a83,Liz
As,Stevie Wonder,64,6,R&B,FALSE,0.48,https://open.spotify.com/track/13toFl1UwJPsRxDiD9jgtn?si=3691302f195b41b5,Lara
bad guy,Billie,95,33,Electro Pop,FALSE,0.17,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m?si=cedff770109b4749,Chantal
Balls to the Wall,Accept,62,0,Rock Clasico,TRUE,0.23,https://open.spotify.com/track/2dbOYFfS7r7NAzquRvji9A?si=0f4c1c7dd79a4221,Lara
Cause I'm A Man,Tame Impala,64,11,Psych Pop,TRUE,0.68,https://open.spotify.com/track/2O99aywAVBhaPrsiJ6zbSS?si=ea22eed211614443,Chantal
Comeback,Ella Eyre,24,5,Dance Pop,TRUE,0.15,https://open.spotify.com/track/5KMOu6OCBeBrT5Xuq5xuYo?si=522fd58692d7475b,Chantal
Creep,Radiohead,89,1,Alt Rock,TRUE,0.2,https://open.spotify.com/track/70LcF31zb1H0PyJoS1Sx1r?si=f3a5879ae66b42c6,Liz
Death Is A Girl,Mini Mansions,40,33,Psych Pop,TRUE,0.0.34,https://open.spotify.com/track/7tC6otaRPNHzyHwuDlnzT0?si=188e13b3fa2e4228,Lara
Do Me a Favour,Arctic Monkeys,70,61,Alt Rock,TRUE,0.37,https://open.spotify.com/track/2BqfIlpahcebJPeu1IUTEo?si=c45a52abb76d43fc,Lara
Dog Eat Dog,AC/DC,50,3,Rock Clasico,FALSE,0.72,https://open.spotify.com/track/0L0x35hQnmCLtHeSGQlEZj?si=4681d81ec6ce4fb9,Chantal
Don't Cry,J Dilla,60,5,Alt Hip-Hop,FALSE,0.16,https://open.spotify.com/track/67c5M9gVWemCV5SGH5cc4v?si=07dce12ceae94236,Liz
Doo Wop (That Thing),Ms Lauryn Hill,78,4,R&B,TRUE,0.45,https://open.spotify.com/track/0uEp9E98JB5awlA084uaIg?si=da7e0d5ced2f423c,Liz
Electric Feel,MGMT,80,47,Electro Pop,FALSE,0.88,https://open.spotify.com/track/3FtYbEfBqAlGO46NUDQSAt?si=26a85891708e4bc0,Chantal
For the Love of God,Steve Vai,55,8,Alt Rock,FALSE,0.19,https://open.spotify.com/track/5m5I3KcV83zf2p2qbsnr3y?si=d3ef275aae694405,Liz
Fuck You,CeeLo Green,65,19,R&B,TRUE,0.54,https://open.spotify.com/track/3ydfhgIZIc2j39NLIhpJpq?si=4e152596a7c34d89,Liz
Hikouki,Fishmans,12,6,Psych Pop,FALSE,0.73,https://open.spotify.com/track/3JhPr9im5ywyi4dqctv9GD?si=12896e4f10434e4c,Liz
How Do You Keep The Music Playing?,Tony Bennet,43,87,R&B,FALSE,0.08,https://open.spotify.com/track/4LTa2DALHWoAvFKQwsRugj?si=2b732fe71bb043ed,Lara
Humpty,Mitski,58,87,Art Pop,TRUE,0.44,https://open.spotify.com/track/1F0BkspIdyq3N7EyZ94Bfa?si=c564c9e79b714d1d,Liz
Hung Up,Madonna,79,40,Dance Pop,FALSE,0.92,https://open.spotify.com/track/3850dYVgOFIXJh5U4BFEWH?si=6a78c9c2987d4153,Lara
I Love It (feat. Charli XCX),Icona Pop,72,41,Electro Pop,TRUE,0.86,https://open.spotify.com/track/2U8NXPTXZWG2O0ye2sYRiH?si=9551273ef5fd4766,Lara
I Want You Back,The Jackson 5,91,31,R&B,FALSE,0.66,https://open.spotify.com/track/5LxvwujISqiB8vpRYv887S?si=6f2955bd42f14923,Liz
In My Feelings,Lana del Rey,72,6,Art Pop,TRUE,0.54,https://open.spotify.com/track/269xqcgGTN9PlivhUkOLhX?si=a95697bb7d434938,Lara
Is it True,Tame Impala,75,40,Psych Pop,FALSE,0.43,https://open.spotify.com/track/6RZmhpvukfyeSURhf4kZ0d?si=d385c05b28294342,Chantal
Jaded,Miley,84,5,Art Pop,TRUE,0.79,https://open.spotify.com/track/3AAY8YicetRPlDAkibHLiS?si=25dd04ae0886428e,Chantal
Jesus of Suburbia,Green Day,68,80,Alt Rock,TRUE,0.81,https://open.spotify.com/track/58KPPL1AdLHMvR2O2PZejr?si=6cdfe27ccc8b4c0b,Lara
Jóga,Bjork,54,40,Electro Pop,FALSE,0.39,https://open.spotify.com/track/18NehrWLUFK7NPH522YQMQ?si=070acd6353ad45e0,Liz
JukeBox Hero,Syler,29,3,Rock Clasico,TRUE,0.74,https://open.spotify.com/track/6cHSEvGW7g1XG6mClspREk?si=38a1640f1b2145bf,Lara
Just Dance,Lady Gaga,92,3,Dance Pop,TRUE,0.82,https://open.spotify.com/track/1dzQoRqT5ucxXVaAhTcT0J?si=b6e1cdb048eb4a81,Lara
Kids,MGMT,80,87,Psych Pop,FALSE,0.91,https://open.spotify.com/track/1jJci4qxiYcOHhQR247rEU?si=8fa35ccadc3d4d00,Liz
Killing Me Softly With His Song,Fugees,80,33,R&B,TRUE,0.88,https://open.spotify.com/track/0Q0IVlqMV64kNLlwjPj0Hl?si=864db8e732794029,Liz
Love Ridden,Fiona Apple,38,80,Art Pop,FALSE,0.49,https://open.spotify.com/track/0eRw1thpWDU7tFt6NfVU4C?si=367f1dfd05f74b0f,Lara
Love/Paranoia,Tame Impala,68,11,Psych Pop,TRUE,0.77,https://open.spotify.com/track/5h9hkYIBWTZYFRmF6Iz1gt?si=cab7f3fdd3794cca,Chantal
Lover You Should've Come Over, Jeff Buckley,43,36,Alt Rock,TRUE,0.63,https://open.spotify.com/track/6Jv7kjGkhY2fT4yuBF3aTz?si=8987a87bd62d43d1,Lara
Lovesong,The Cure,34,38,Alt Rock,FALSE,0.85,https://open.spotify.com/track/49edirvFZwWjxAMZJRg1hN?si=f3f76dc0b54a4ae3,Lara
Lullaby,Sigala,61,8,Dance Pop,FALSE,0.1,https://open.spotify.com/track/5xzCzOAOfRi4DOttSzvznR?si=bafc1b18afde4db8,Chantal
Meat Grinder,Madvillain,72,86,Alt Hip-Hop,FALSE,0.53,https://open.spotify.com/track/4WM1hvYr2NC6bQnQXcj3sH?si=437632bb220d455d,Liz
meta angel,FKA twigs,50,11,Art Pop,TRUE,0.18,https://open.spotify.com/track/6EeuY84I1Q3UJvpPN6iSzw?si=fac8b75c4ca746a0,Lara
Miss You (Remastered),The Rolling Stones,87,44,Rock Clasico,FALSE,0.85,https://open.spotify.com/track/3hJLKtTpgct9Y9wKww0BiR?si=4f58eb1362444b67,Lara
Never Be Like You,Flume,66,45,Electro Pop,TRUE,0.19,https://open.spotify.com/track/5AWMbJ60z0NmztJ1Edl00K?si=66e6fca947d74ad1,Chantal
November Rain,Guns N' Roses,95,2,Rock Clasico,FALSE,0.47,https://open.spotify.com/track/3YRCqOhFifThpSRFJ1VWFM?si=c05f907101514e60,Liz
Oblivion,Grimes,41,12,Art Pop,FALSE,0.79,https://open.spotify.com/track/4BY4V1T0RJK1HmD2Q0ClyK?si=8316ceac91874133,Lara
On My Mind,Diplo,63,90,Electro Pop,TRUE,0.68,https://open.spotify.com/track/5lXY6PTuWXOludKy4zDQwM?si=f6ed17d0f57c4af8,Chantal
Otra Oportunidad,Conociendo rusia,55,13,Alt Rock,FALSE,0.54,https://open.spotify.com/track/29WjfUKhMuEVdO8iCRw2eE?si=e4195f78c74b4311,Chantal
Paradise City,Guns N' Roses,84,22,Rock Clasico,TRUE,0.22,https://open.spotify.com/track/6eN1f9KNmiWEhpE2RhQqB5?si=8401237e8af34a3d,Liz
Rain,SWV,65,64,R&B,TRUE,0.02,https://open.spotify.com/track/4G1qRhOk1YY0kewtMaCrMC?si=31cef7e3e5d040d2,Liz
Roses,Outkast,74,5,Alt Hip-Hop,TRUE,0.67,https://open.spotify.com/track/6bUNEbXT7HovLW6BgPCBsb?si=53ad8ded6af34ef4,Liz
Sense,King Gizzard & The Lizard Wizard,46,51,Psych Pop,FALSE,0.09,https://open.spotify.com/track/2aWD82DivUOt9BpYLPL4U4?si=d0f5558460af4d7f,Liz
Sexual Healing,Marvin Gaye,75,12,R&B,FALSE,0.79,https://open.spotify.com/track/3VZmChrnVW8JK6ano4gSED?si=f0053046904c4390,Liz
Shoop,Salt-N-Pepa,74,9,Alt Hip-Hop,FALSE,0.89,https://open.spotify.com/track/0Pu71wxadDlB8fJXfjIjeJ?si=d258faa868ed491a,Liz
Space Song,Beach House,77,22,Electro Pop,FALSE,0.53,https://open.spotify.com/track/1ujxjsoNvh4XgS2fUNwkZ2?si=48f158833eaf4fa5,Liz
Stressed Out (feat. Faith Evans),A Tribe Called Quest,51,7,Alt Hip-Hop,TRUE,0.76,https://open.spotify.com/track/3jaEmUzw0Nt4GcyPkWEDCi?si=ee4a5083ae134bcf,Chantal
THAT'S THAT,MF DOOM,48,24,Alt Hip-Hop,TRUE,0.39,https://open.spotify.com/track/0I9glwqb1UBvb4nhj9dIbk?si=0d88a3a8eeff436b,Liz
The Chocolate Conquistadors,BADBADNOTGOOD,45,6,Alt Hip-Hop,FALSE,0.47,https://open.spotify.com/track/6HOLZtVDh5EgvPnW4z23n2?si=ab46a86c2f1e4474,Liz
The Louvre,Lord,67,24,Art Pop,FALSE,0.73,https://open.spotify.com/track/5q4BpnMrYEFzLO0dYODj6J?si=5166e9b5bcb94da6,Lara
The Sun,Portugal. The Man,42,54,Psych Pop,TRUE,0.04,https://open.spotify.com/track/13OMsk0XnOlCW4TboBeQxu?si=731dee551f854492,Chantal
This Hell,Rina Sawayama,51,0,Dance Pop,TRUE,0.29,https://open.spotify.com/track/6A6yKpsgFr4gIKd7gsfHhm?si=94bff224f78c4147,Lara
Todo un Palo,Patricio Rey y sus Redonditos de Ricota,58,31,Alt Rock,FALSE,0.31,https://open.spotify.com/track/0HQMAExgp4BiKGq6UM3u9X?si=d77e6b4b2bd04625,Liz
Voodo Child (Slight Return),Jimi Hendrix,70,48,Rock Clasico,FALSE,0.06,https://open.spotify.com/track/2AxCeJ6PSsBYiTckM0HLY7?si=b624a933911448d3,Liz
Waiting For Love,Avicii,85,31,Dance Pop,FALSE,0.45,https://open.spotify.com/track/2P4OICZRVAQcYAV2JReRfj?si=d6bbe5da43dd4b48,Chantal
Wannabe,Spice Girls,84,70,Dance Pop,FALSE,0.69,https://open.spotify.com/track/1Je1IMUlBXcx1Fz0WE7oPT?si=df74181d36034e42,Chantal
Yes I'm Changing,Tame Impala,71,11,Electro Pop,TRUE,0.33,https://open.spotify.com/track/0xtIp0lgccN85GfGOekS5L?si=52261fca17934de3,Chantal
You Don't Know Me,Jax Jones,69,06,Dance Pop,TRUE,0.64,https://open.spotify.com/track/1rFMYAZxBoAKSzXI54brMu?si=381cb53c7be14893,Lara
